"";"Produkte_App";"Produkte_Zusammenfassung";"Produktgruppe";"Verpackungseinheit";"Lieferant";"Ort";"EntfernungZwischenhaendler";"Herkunftsgenauigkeit";"Lieferantentyp";"EntfernungKK";"Gesamtentfernung";"n";"turnover2015";"turnover2016";"turnover2017";"avg.turnover";"Kathegorie"
"261";"Sonnenblumenöl, EU";"Bratöl";"Öl und Essig";"10";"Naturata";"Italien";826,114189793074;2;"Zwischenhaendler";142,914375788986;969,02856558206;12;1,66666666666667;5,15883333333333;0,0176666666666667;2,58825;"800-1600"
"262";"Sonnenblumenöl, EU";"Bratöl";"Öl und Essig";"10";"Naturata";"Slovenien";531,814392729045;2;"Zwischenhaendler";142,914375788986;674,728768518031;12;1,66666666666667;5,15883333333333;0,0176666666666667;2,58825;"400-800"
"263";"Sonnenblumenöl, EU";"Bratöl";"Öl und Essig";"10";"Naturata";"Rumänien";1229,38699728249;2;"Zwischenhaendler";142,914375788986;1372,30137307148;12;1,66666666666667;5,15883333333333;0,0176666666666667;2,58825;"800-1600"
"264";"Spaghetti";"Spaghetti vom Grosshandel";"Grundnahrungsmittel";"5";"Bode";"";NA;NA;"Zwischenhaendler";632,709044085065;NA;4;3,75;16,66;2,8235;9,74175;"NA"
"265";"Spaghetti semoltano";"Spaghetti vom Grosshandel";"Grundnahrungsmittel";"5";"Bode";"";NA;NA;"Zwischenhaendler";632,709044085065;NA;4;3,75;16,66;2,8235;9,74175;"NA"
"266";"Spirelli";"Nudeln vom Grosshandel";"Grundnahrungsmittel";"5";"Bode";"";NA;NA;"Zwischenhaendler";632,709044085065;NA;8;1,875;15,438125;10,0325;12,7353125;"NA"
"267";"Tomatenmark";"Tomatenmark";"Sonstiges";"12";"OBEG";"Italien";855,694055034801;3;"Zwischenhaendler";212,62569395508;1068,31974898988;8;NA;17,625;16,5;17,0625;"800-1600"
"268";"Tomaten Mark";"Tomatenmark";"Sonstiges";"12";"OBEG";"Italien";855,694055034801;3;"Zwischenhaendler";212,62569395508;1068,31974898988;8;NA;17,625;16,5;17,0625;"800-1600"
"269";"Tomatenpassata";"Tomatenpassata";"Sonstiges";"12";"OBEG";"Italien";855,694055034801;3;"Zwischenhaendler";212,62569395508;1068,31974898988;6;NA;34;22;28;"800-1600"
"270";"Tomaten Passata";"Tomatenpassata";"Sonstiges";"12";"OBEG";"Italien";855,694055034801;3;"Zwischenhaendler";212,62569395508;1068,31974898988;6;NA;34;22;28;"800-1600"
"271";"Weinbeeren";"Sultaninen";"Trockenfrüchte";"12.5";"Bode";"";NA;NA;"Zwischenhaendler";632,709044085065;NA;6;2,143;6,25;12,5585;9,40425;"NA"
"272";"Zimt Ganz";"Zimt Ganz";"Gewürze";"1";"Bode";"";NA;NA;"Zwischenhaendler";632,709044085065;NA;2;NA;0,5;0,6745;0,58725;"NA"
"273";"Zimt Gemahlen";"Zimt Gemahlen";"Gewürze";"1";"OBEG";"Indien";6787,92000583096;3;"Zwischenhaendler";212,62569395508;7000,54569978604;2;NA;1,5;0,7525;1,12625;"6400-12800"
"274";"Ahornsirup";"Ahornsirup";"Sonstiges";"5";"Bode";"";NA;NA;"Zwischenhaendler";632,709044085065;NA;2;NA;2;6,1535;4,07675;"NA"
"275";"Best Cashew Feb 2017";"NI";"NI";"0";"NI";NA;NA;NA;NA;NA;NA;14;NA;NA;1,69085714285714;1,69085714285714;"NA"
"276";"Bier Fur Simon";"NI";"NI";"0";"NI";NA;NA;NA;NA;NA;NA;14;NA;NA;1,69085714285714;1,69085714285714;"NA"
"277";"Bier Simon";"NI";"NI";"0";"NI";NA;NA;NA;NA;NA;NA;14;NA;NA;1,69085714285714;1,69085714285714;"NA"
"278";"Bockshornklee";"Bockshornklee Ganz";"Gewürze";"1";"Bode";"";NA;NA;"Zwischenhaendler";632,709044085065;NA;4;NA;0,25;0,25;0,25;"NA"
"279";"Chilli";"Chilli Gemahlen";"Gewürze";"1";"Bode";"";NA;NA;"Zwischenhaendler";632,709044085065;NA;4;NA;0,23925;0,35625;0,29775;"NA"
"280";"Erdmussmus";"Erdnussmus";"Aufstriche";"10";"Bode";"";NA;NA;"Zwischenhaendler";632,709044085065;NA;4;NA;2,33;3,6415;2,98575;"NA"
"281";"Falschbuchung Hanfkoerner";"NI";"NI";"0";"NI";NA;NA;NA;NA;NA;NA;14;NA;NA;1,69085714285714;1,69085714285714;"NA"
"282";"Hirse Gold";"Hirse Gold";"Grundnahrungsmittel";"25";"OBEG";"Ukraine";1555,40832745554;2;"Zwischenhaendler";212,62569395508;1768,03402141062;8;3,54125;9,2375;2,92125;6,079375;"1600-3200"
"283";"Hirse gold";"Hirse Gold";"Grundnahrungsmittel";"25";"OBEG";"Ukraine";1555,40832745554;2;"Zwischenhaendler";212,62569395508;1768,03402141062;8;3,54125;9,2375;2,92125;6,079375;"1600-3200"
"284";"Honig Frühjahrsblüte Glas";"Honig";"Sonstiges";"10";"Erik";NA;0;NA;"Erzeuger";3,56355402577734;3,56355402577734;9;3,11111111111111;1,55555555555556;2,76133333333333;2,15844444444444;"0-100"
"285";"Honig Schwarzwald Glas";"Honig";"Sonstiges";"10";"Erik";NA;0;NA;"Erzeuger";3,56355402577734;3,56355402577734;9;3,11111111111111;1,55555555555556;2,76133333333333;2,15844444444444;"0-100"
"286";"Korrektur Hanfsamen";"NI";"NI";"0";"NI";NA;NA;NA;NA;NA;NA;14;NA;NA;1,69085714285714;1,69085714285714;"NA"
"287";"Kurkuma";"Kurkuma Gemahlen";"Gewürze";"1";"Bode";"";NA;NA;"Zwischenhaendler";632,709044085065;NA;4;NA;0,278;0,375;0,3265;"NA"
"288";"Langkornreis";"Langkornreis Natur";"Grundnahrungsmittel";"25";"Bode";"";NA;NA;"Zwischenhaendler";632,709044085065;NA;10;2,5;9,887;9,0202;9,4536;"NA"
"289";"Linsen Aa";"NI";"NI";"0";"NI";NA;NA;NA;NA;NA;NA;14;NA;NA;1,69085714285714;1,69085714285714;"NA"
"290";"Muesli";"NI";"NI";"0";"NI";NA;NA;NA;NA;NA;NA;14;NA;NA;1,69085714285714;1,69085714285714;"NA"
"291";"Nudeln Spaghetti Dinkel";"Spaghetti Dinkel";"Grundnahrungsmittel";"5";"Biohof Lex";NA;0;NA;"Erzeuger";306,955484551127;306,955484551127;2;NA;NA;20;20;"200-400"
"292";"Nudeln Spirelli GEMISCHT";"Nudeln vom Grosshandel";"Grundnahrungsmittel";"5";"Bode";"";NA;NA;"Zwischenhaendler";632,709044085065;NA;8;1,875;15,438125;10,0325;12,7353125;"NA"
"293";"Nudeln Spirelli Weizen";"Nudeln vom Grosshandel";"Grundnahrungsmittel";"5";"Bode";"";NA;NA;"Zwischenhaendler";632,709044085065;NA;8;1,875;15,438125;10,0325;12,7353125;"NA"
"294";"Nudeln, Dinkel";"Nudeln Dinkel";"Grundnahrungsmittel";"5";"Biohof Lex";NA;0;NA;"Erzeuger";306,955484551127;306,955484551127;6;NA;NA;7,81266666666667;7,81266666666667;"200-400"
"295";"Nudeln, Dinkel Vollkorn";"Nudeln Dinkel";"Grundnahrungsmittel";"5";"Biohof Lex";NA;0;NA;"Erzeuger";306,955484551127;306,955484551127;6;NA;NA;7,81266666666667;7,81266666666667;"200-400"
"296";"Nudeln, Spirelli Dinkel";"Nudeln Dinkel";"Grundnahrungsmittel";"5";"Biohof Lex";NA;0;NA;"Erzeuger";306,955484551127;306,955484551127;6;NA;NA;7,81266666666667;7,81266666666667;"200-400"
"297";"Passata";"Tomatenpassata";"Sonstiges";"12";"OBEG";"Italien";855,694055034801;3;"Zwischenhaendler";212,62569395508;1068,31974898988;6;NA;34;22;28;"800-1600"
"298";"Pfeffer";"Pfeffer Schwarz Ganz";"Gewürze";"1";"Bode";"";NA;NA;"Zwischenhaendler";632,709044085065;NA;6;0,333333333333333;0,333333333333333;0,484;0,408666666666667;"NA"
"299";"Pfeffer schwarz";"Pfeffer Schwarz Ganz";"Gewürze";"1";"Bode";"";NA;NA;"Zwischenhaendler";632,709044085065;NA;6;0,333333333333333;0,333333333333333;0,484;0,408666666666667;"NA"
"300";"Reis Langkorn";"Langkornreis Natur";"Grundnahrungsmittel";"25";"Bode";"";NA;NA;"Zwischenhaendler";632,709044085065;NA;10;2,5;9,887;9,0202;9,4536;"NA"
"301";"Reis Rundkorn Vollkorn";"Rundkornreis";"Grundnahrungsmittel";"25";"Bode";"";NA;NA;"Zwischenhaendler";632,709044085065;NA;6;4,16666666666667;4,6185;13,9746666666667;9,29658333333333;"NA"
"302";"Schokomus Sambe";"Samba";"Aufstriche";"8";"Bode";"";NA;NA;"Zwischenhaendler";632,709044085065;NA;6;1,33333333333333;6,5225;2,66666666666667;4,59458333333333;"NA"
"303";"Sesam ";"Sesam";"Ölsaaten und Nüsse";"25";"Bode";"";NA;NA;"Zwischenhaendler";632,709044085065;NA;6;4,21666666666667;4,3985;9,16666666666667;6,78258333333333;"NA"
"304";"Sesam ungeschält";"Sesam";"Ölsaaten und Nüsse";"25";"Bode";"";NA;NA;"Zwischenhaendler";632,709044085065;NA;6;4,21666666666667;4,3985;9,16666666666667;6,78258333333333;"NA"
"305";"Sesammus";"Sesammus";"Aufstriche";"8";"Bode";"";NA;NA;"Zwischenhaendler";632,709044085065;NA;2;NA;NA;5;5;"NA"
"306";"Sonnenblumenöl -HO";"Sonnenblumenöl hocherhitzbar";"Öl und Essig";"10";"Bode";"";NA;NA;"Zwischenhaendler";632,709044085065;NA;8;2,5;NA;9,106;9,106;"NA"
"307";"Sonnenblumenöl Heiss";"Sonnenblumenöl hocherhitzbar";"Öl und Essig";"10";"Bode";"";NA;NA;"Zwischenhaendler";632,709044085065;NA;8;2,5;NA;9,106;9,106;"NA"
"308";"Sonnenblumenöl Hocherhitzbar";"Sonnenblumenöl hocherhitzbar";"Öl und Essig";"10";"Bode";"";NA;NA;"Zwischenhaendler";632,709044085065;NA;8;2,5;NA;9,106;9,106;"NA"
"309";"Sultaninen";"Sultaninen";"Trockenfrüchte";"12.5";"Bode";"";NA;NA;"Zwischenhaendler";632,709044085065;NA;6;2,143;6,25;12,5585;9,40425;"NA"
"310";"Tomatenmark EDEN";"Tomatenmark";"Sonstiges";"12";"OBEG";"Italien";855,694055034801;3;"Zwischenhaendler";212,62569395508;1068,31974898988;8;NA;17,625;16,5;17,0625;"800-1600"
"311";"Tomatenmark NATURATA";"Tomatenmark";"Sonstiges";"12";"OBEG";"Italien";855,694055034801;3;"Zwischenhaendler";212,62569395508;1068,31974898988;8;NA;17,625;16,5;17,0625;"800-1600"
"312";"Zuckerrübensirup";"Zuckerrübensirup";"Sonstiges";"5";"Bode";"";NA;NA;"Zwischenhaendler";632,709044085065;NA;2;NA;NA;6,088;6,088;"NA"
"313";"Sonnenblumenöl, EU ";"Sonnenblumenöl hocherhitzbar";"Öl und Essig";"10";"Bode";"";NA;NA;"Zwischenhaendler";632,709044085065;NA;8;2,5;NA;9,106;9,106;"NA"
"314";"Senfsaat Gelb";"Senfkörner";"Gewürze";"1";"Bode";"";NA;NA;"Zwischenhaendler";632,709044085065;NA;8;NA;0,251625;0,267;0,2593125;"NA"
"315";"Waldhonig";"Honig";"Sonstiges";"10";"Erik";NA;0;NA;"Erzeuger";3,56355402577734;3,56355402577734;9;3,11111111111111;1,55555555555556;2,76133333333333;2,15844444444444;"0-100"
